date,Power Consumption,Outdoor Temperature,Occupancy
2018-05-22 00:00:00,71.97999964,15.72,1
2018-05-22 00:15:00,71.00000002,15.37,1
2018-05-22 00:30:00,65.20000014,15.27,0
2018-05-22 00:45:00,95.89999963,16.03,0
2018-05-22 01:00:00,43.60000031,15.28,0
2018-05-22 01:15:00,40.49999969,15.12,0
2018-05-22 01:30:00,50.38999947,14.23,0
2018-05-22 01:45:00,74.38999958,13.62,0
2018-05-22 02:00:00,31.77500022,13.41,0
2018-05-22 02:15:00,48.35000019,12.51,0
2018-05-22 02:30:00,48.11499963,11.86,0
2018-05-22 02:45:00,30.50000017,11.83,0
2018-05-22 03:00:00,29.15666624,11.6,0
2018-05-22 03:15:00,46.13333334,11.32,0
2018-05-22 03:30:00,44.78999954,11.15,0
2018-05-22 03:45:00,30.5999996,10.85,0
2018-05-22 04:00:00,46.48999965,10.84,0
2018-05-22 04:15:00,62.18999961,10.88,0
2018-05-22 04:30:00,67.38999958,10.81,0
2018-05-22 04:45:00,51.40000017,10.68,0
2018-05-22 05:00:00,29.80000036,10.64,0
2018-05-22 05:15:00,46.09000015,10.59,0
2018-05-22 05:30:00,48.10000034,10.53,1
2018-05-22 05:45:00,45.80000034,10.41,1
2018-05-22 06:00:00,32.29999998,10.26,1
2018-05-22 06:15:00,44.50000022,10.21,1
2018-05-22 06:30:00,45.73999963,10.18,1
2018-05-22 06:45:00,61.3900001,10.17,2
2018-05-22 07:00:00,61.88999954,10.13,4
2018-05-22 07:15:00,45.20000022,10.03,4
2018-05-22 07:30:00,28.79999979,9.98,9
2018-05-22 07:45:00,44.58999954,9.93,10
2018-05-22 08:00:00,44.49000036,9.93,14
2018-05-22 08:15:00,44.6000001,9.92,14
2018-05-22 08:30:00,46.00000015,9.97,19
2018-05-22 08:45:00,63.29999996,9.95,18
2018-05-22 09:00:00,64.98999981,9.94,28
2018-05-22 09:15:00,45.00000007,9.84,27
2018-05-22 09:30:00,44.69999998,9.82,23
2018-05-22 09:45:00,46.99000014,9.79,28
2018-05-22 10:00:00,47.42499962,9.83,29
2018-05-22 10:15:00,45.74999998,9.8,31
2018-05-22 10:30:00,47.47499962,9.85,30
2018-05-22 10:45:00,53.8,9.84,28
2018-05-22 11:00:00,67.6999996,9.73,25
2018-05-22 11:15:00,72.58000041,9.73,30
2018-05-22 11:30:00,44.97999954,9.81,31
2018-05-22 11:45:00,45.89999967,9.69,31
2018-05-22 12:00:00,47.30000024,9.71,25
2018-05-22 12:15:00,46.88999954,9.72,25
2018-05-22 12:30:00,50.20000036,9.75,28
2018-05-22 12:45:00,49.39999952,9.68,28
2018-05-22 13:00:00,51.28999952,9.69,29
2018-05-22 13:15:00,70.80000024,9.61,34
2018-05-22 13:30:00,71.97999983,9.56,33
2018-05-22 13:45:00,81.69999995,9.51,37
2018-05-22 14:00:00,65.33333381,9.43,32
2018-05-22 14:15:00,74.35666719,9.48,34
2018-05-22 14:30:00,108.2000004,9.56,34
2018-05-22 14:45:00,84.80000062,9.71,40
2018-05-22 15:00:00,82.69000063,9.82,39
2018-05-22 15:15:00,83.48000067,9.92,38
2018-05-22 15:30:00,88.99999943,9.9,37
2018-05-22 15:45:00,126.7742853,9.93,41
2018-05-22 16:00:00,87.64857105,9.94,36
